Y,K,L
929754.25,12596755.59,67.89296518
934305.8204,18838208.17,35.10329779
435539.4849,7206566.859,33.00417785
689656.8143,13819116.71,36.19639146
89417.74679,745135.0103,11.03504886
949690.7121,20439161.96,179.07683
1573411.989,24527708.15,53.15498034
641295.6957,10193708.9,23.48766567
255174.3351,4981124.198,42.68819426
30180.35578,299626.8721,3.092369386
12771.00353,344409.1122,2.063330555
399377.3285,5639545.293,20.10913345
190718.8832,1509580.336,61.84874517
1062576.915,14599545.45,113.3570063
247812.995,4453389.886,20.85232906
3023316.5,46927223.6,200.5908847
5212646.492,38399869.89,236.3296321
83800.95833,1181767.865,10.43410725
33847.16363,372462.2803,4.864066913
2188240.991,19149137.33,1534.491014
173291.215,2293159.899,12.81886478
11291.68873,238798.6464,0.631387587
64956.11166,2611757.492,4.43055491
2519485.782,43489099.31,232.6426973
2510152.995,28176168.16,380.0082544
59653.12171,956098.3041,27.57764879
59473.29873,1435971.92,28.77414033
43767.7555,1099602.822,1.340791547
79544.42902,2585023.087,29.45104171
968178.723,12787077.3,78.93201124
13580.64798,333207.8588,1.669815478
21382.56658,252254.0815,3.475747613
994679.7216,17791010.04,41.7030603
309105.1544,8566481.201,14.45198393
217229.598,4158719.76,7.216651994
284139.7408,1220179.068,135.3151932
16474.4906,214580.0054,3.10245538
221120.9098,8494731.026,26.66058747
188092.7706,3214098.85,87.12253944
218682.2123,3227287.363,33.28996637
55996.27036,415725.6986,6.648211832
203255.951,2128760.172,103.727677
22413.20699,509936.2925,2.330748515
470846.9248,2777739.126,114.7247121
34867.39911,255191.396,27.10246291
93950.16439,2078844.582,9.797763033
20077047.56,338692790.7,638.2976774
264190.8849,8943917.481,15.90065404
433233.3347,8292655.898,46.96775119
1076114.723,94195845.17,73.03773724
1140242.345,108173304.2,38.84532212
565942.0481,43106825.92,32.40708816
816737.2697,83258181.34,36.1809888
91556.54096,5858805.549,11.92247791
1316483.762,145306158.2,202.9273045
2011938.275,151144480.1,59.10346432
808814.1116,74480348.99,25.24267878
231643.0735,29625343.76,23.07013501
1878717.458,117763040.8,2973.741457
337118.2169,33797051.6,47.46509505
47639.47343,2478538.283,3.491133053
17732.47286,3172504.277,2.161878469
441238.0301,28476597.68,20.25190484
100519.8053,14267889.1,13.37401338
212169.95,11709552.42,67.17681301
1514182.141,112093278.8,118.114252
332556.9245,35567742.23,21.05741914
3672696.714,267843777.5,201.977885
6075076.235,284642603.5,240.1980457
32931.06316,2522014.057,26.40538362
390677.2448,22515829.69,34.92712077
93879.69832,6412266.436,11.84981337
32160.11553,2780579.223,5.517860353
2621322.135,138104507.9,1630.605832
191972.8844,14343574.71,12.06066594
486859.5243,6546545.071,59.77674364
15667.34343,1707954.708,0.663043656
102332.4183,14949570.5,6.000596228
3375094.11,329912540.2,233.6601521
65168.36646,4444394.458,6.369506402
11017.73192,446506.6747,1.628426111
3737609.817,245224766.4,421.9323806
72235.77632,6419332.234,31.47970541
371987.5503,9598566.778,66.82758105
72542.61751,9753415.082,33.20759269
46691.91061,6124196.644,1.323569992
81870.16942,16579425.49,33.4084379
1310135.855,100140007.2,87.82822384
14129.04625,1892351.775,1.911006957
9184.822184,568033.2127,15.55491429
97973.69148,981654.5312,25.16824579
34876.94357,3023958.055,3.91885087
1253867.132,97214521.47,41.97738548
378564.8949,53484635.36,14.54590308
253150.5638,22603622.44,7.984541837
320090.6432,12630914.96,142.2028724
20397.41638,1248888.171,3.410066995
307353.24,66820303.91,29.48181402
271585.3325,19609646.13,95.11232595
283836.5501,21055813.29,33.15961015
30207.61509,1240988.536,6.592933903
72655.04447,2960905.76,7.326064958
852899.7532,71695022.27,34.22933743
173202.3201,14315927.95,117.4653878
31103.62174,3212209.31,2.545127777
708162.847,24588683.25,123.5313032
145786.9769,4856086.442,34.27384378
41340.63589,2012014.492,30.50523089
121218.2156,12365898.6,10.37933455
25137154.7,1846609768,676.8781452
402763.6093,70484328.71,18.88346534
541627.7267,57622648.13,51.71295465
46035.80682,889271.1819,10.83569013
9161.506256,501563.4817,14.32054565
1287175.724,169114672.2,77.47649085
1359077.602,192359427.4,42.50391049
749339.0328,85314593.96,32.74203288
7284.376706,47185.81886,13.94078459
933808.9493,146542174,36.61032211
16468.05453,720380.9211,7.971690531
437869.588,3511854.37,250.2731848
93186.31234,9691926.016,12.93240472
1850479.547,279872426,230.851103
17768.77922,604486.4445,0.912816707
